ID,label
TEST_0000,사실형-긍정-현재-확실
TEST_0001,사실형-긍정-현재-확실
TEST_0002,사실형-긍정-과거-확실
TEST_0003,사실형-긍정-과거-확실
TEST_0004,사실형-긍정-과거-확실
TEST_0005,사실형-긍정-미래-불확실
TEST_0006,사실형-긍정-현재-확실
TEST_0007,사실형-긍정-과거-확실
TEST_0008,사실형-긍정-현재-확실
TEST_0009,사실형-긍정-과거-확실
TEST_0010,사실형-긍정-과거-확실
TEST_0011,사실형-부정-현재-확실
TEST_0012,사실형-긍정-과거-확실
TEST_0013,사실형-긍정-과거-확실
TEST_0014,사실형-긍정-현재-확실
TEST_0015,사실형-긍정-과거-확실
TEST_0016,사실형-긍정-현재-확실
TEST_0017,사실형-긍정-현재-확실
TEST_0018,사실형-긍정-과거-확실
TEST_0019,사실형-긍정-현재-확실
TEST_0020,사실형-긍정-현재-확실
TEST_0021,사실형-긍정-과거-확실
TEST_0022,대화형-부정-현재-확실
TEST_0023,사실형-긍정-과거-확실
TEST_0024,사실형-긍정-과거-확실
TEST_0025,추론형-긍정-현재-확실
TEST_0026,사실형-긍정-과거-확실
TEST_0027,추론형-긍정-현재-확실
TEST_0028,사실형-긍정-미래-확실
TEST_0029,사실형-긍정-과거-확실
TEST_0030,사실형-긍정-과거-확실
TEST_0031,사실형-긍정-과거-확실
TEST_0032,사실형-긍정-과거-확실
TEST_0033,사실형-긍정-과거-확실
TEST_0034,대화형-긍정-과거-확실
TEST_0035,사실형-긍정-과거-확실
TEST_0036,사실형-긍정-과거-확실
TEST_0037,사실형-긍정-과거-확실
TEST_0038,사실형-긍정-과거-확실
TEST_0039,사실형-긍정-미래-확실
TEST_0040,사실형-긍정-과거-확실
TEST_0041,사실형-부정-현재-확실
TEST_0042,추론형-긍정-미래-불확실
TEST_0043,추론형-긍정-미래-불확실
TEST_0044,사실형-긍정-현재-확실
TEST_0045,사실형-긍정-과거-확실
TEST_0046,사실형-긍정-과거-확실
TEST_0047,추론형-긍정-과거-확실
TEST_0048,사실형-긍정-과거-확실
TEST_0049,사실형-긍정-과거-확실
TEST_0050,사실형-긍정-과거-확실
TEST_0051,사실형-긍정-과거-확실
TEST_0052,사실형-긍정-현재-확실
TEST_0053,사실형-긍정-과거-확실
TEST_0054,사실형-긍정-과거-확실
TEST_0055,사실형-긍정-과거-확실
TEST_0056,추론형-긍정-현재-확실
TEST_0057,사실형-긍정-현재-확실
TEST_0058,추론형-긍정-현재-확실
TEST_0059,사실형-긍정-현재-확실
TEST_0060,사실형-긍정-과거-확실
TEST_0061,사실형-긍정-과거-확실
TEST_0062,사실형-긍정-현재-확실
TEST_0063,사실형-긍정-과거-확실
TEST_0064,사실형-긍정-현재-확실
TEST_0065,사실형-긍정-과거-확실
TEST_0066,사실형-긍정-과거-확실
TEST_0067,사실형-긍정-과거-확실
TEST_0068,사실형-긍정-현재-확실
TEST_0069,사실형-긍정-과거-확실
TEST_0070,사실형-긍정-과거-확실
TEST_0071,대화형-긍정-미래-불확실
TEST_0072,사실형-부정-현재-확실
TEST_0073,사실형-긍정-과거-확실
TEST_0074,사실형-긍정-현재-확실
TEST_0075,사실형-긍정-현재-확실
TEST_0076,사실형-긍정-과거-확실
TEST_0077,사실형-긍정-현재-확실
TEST_0078,사실형-부정-과거-확실
TEST_0079,사실형-긍정-과거-확실
TEST_0080,사실형-긍정-과거-확실
TEST_0081,추론형-긍정-현재-확실
TEST_0082,사실형-긍정-현재-확실
TEST_0083,사실형-긍정-현재-확실
TEST_0084,사실형-긍정-과거-확실
TEST_0085,사실형-긍정-과거-확실
TEST_0086,사실형-긍정-현재-확실
TEST_0087,사실형-긍정-미래-불확실
TEST_0088,사실형-긍정-과거-확실
TEST_0089,사실형-긍정-과거-확실
TEST_0090,사실형-긍정-과거-확실
TEST_0091,사실형-긍정-현재-확실
TEST_0092,추론형-긍정-현재-확실
TEST_0093,사실형-긍정-과거-확실
TEST_0094,사실형-긍정-현재-확실
TEST_0095,사실형-긍정-미래-확실
TEST_0096,사실형-긍정-현재-확실
TEST_0097,사실형-긍정-현재-확실
TEST_0098,사실형-긍정-현재-확실
TEST_0099,사실형-긍정-과거-확실
TEST_0100,사실형-긍정-과거-확실
TEST_0101,사실형-긍정-현재-확실
TEST_0102,추론형-긍정-현재-확실
TEST_0103,사실형-긍정-현재-확실
TEST_0104,대화형-긍정-현재-확실
TEST_0105,사실형-긍정-현재-확실
TEST_0106,사실형-긍정-과거-확실
TEST_0107,사실형-긍정-과거-확실
TEST_0108,사실형-긍정-과거-확실
TEST_0109,대화형-부정-현재-확실
TEST_0110,사실형-긍정-현재-확실
TEST_0111,사실형-긍정-과거-확실
TEST_0112,사실형-긍정-현재-확실
TEST_0113,추론형-긍정-현재-확실
TEST_0114,사실형-긍정-현재-확실
TEST_0115,사실형-긍정-과거-확실
TEST_0116,사실형-긍정-과거-확실
TEST_0117,사실형-긍정-현재-확실
TEST_0118,사실형-긍정-현재-확실
TEST_0119,사실형-긍정-과거-확실
TEST_0120,사실형-긍정-과거-확실
TEST_0121,사실형-긍정-현재-확실
TEST_0122,사실형-긍정-과거-확실
TEST_0123,사실형-긍정-현재-확실
TEST_0124,사실형-부정-현재-확실
TEST_0125,추론형-긍정-현재-확실
TEST_0126,사실형-긍정-과거-확실
TEST_0127,사실형-긍정-과거-확실
TEST_0128,사실형-긍정-현재-확실
TEST_0129,사실형-긍정-과거-확실
TEST_0130,추론형-긍정-미래-확실
TEST_0131,사실형-긍정-현재-확실
TEST_0132,사실형-긍정-과거-확실
TEST_0133,사실형-긍정-과거-확실
TEST_0134,사실형-긍정-과거-확실
TEST_0135,추론형-부정-미래-불확실
TEST_0136,사실형-긍정-현재-확실
TEST_0137,사실형-긍정-과거-확실
TEST_0138,사실형-긍정-현재-확실
TEST_0139,사실형-긍정-현재-확실
TEST_0140,사실형-긍정-현재-확실
TEST_0141,사실형-긍정-과거-확실
TEST_0142,사실형-긍정-과거-확실
TEST_0143,사실형-부정-현재-확실
TEST_0144,사실형-긍정-현재-확실
TEST_0145,사실형-긍정-현재-확실
TEST_0146,사실형-긍정-현재-확실
TEST_0147,사실형-긍정-과거-확실
TEST_0148,사실형-긍정-현재-확실
TEST_0149,사실형-긍정-과거-확실
TEST_0150,추론형-부정-현재-확실
TEST_0151,사실형-긍정-과거-확실
TEST_0152,사실형-긍정-과거-확실
TEST_0153,사실형-긍정-현재-확실
TEST_0154,사실형-긍정-미래-확실
TEST_0155,사실형-긍정-현재-확실
TEST_0156,사실형-긍정-과거-확실
TEST_0157,추론형-부정-현재-확실
TEST_0158,사실형-긍정-과거-확실
